time,NSW_419016
1/01/2006,0.741
2/01/2006,0.651
3/01/2006,0.567
4/01/2006,0.599
5/01/2006,0.637
6/01/2006,0.592
7/01/2006,0.593
8/01/2006,0.7
9/01/2006,0.623
10/01/2006,0.429
11/01/2006,0.373
12/01/2006,0.349
13/01/2006,0.22
14/01/2006,133.474
15/01/2006,139.52
16/01/2006,57.648
17/01/2006,29.774
18/01/2006,18.1
19/01/2006,15.525
20/01/2006,9.835
21/01/2006,7.84
22/01/2006,5.218
23/01/2006,3.272
24/01/2006,2.382
25/01/2006,1.651
26/01/2006,3.226
27/01/2006,8.496
28/01/2006,6.605
29/01/2006,3.209
30/01/2006,2.423
31/01/2006,2.431
1/02/2006,1.647
2/02/2006,1.171
3/02/2006,1.024
4/02/2006,0.897
5/02/2006,0.784
6/02/2006,0.617
7/02/2006,0.564
8/02/2006,0.464
9/02/2006,0.383
10/02/2006,0.371
11/02/2006,0.349
12/02/2006,0.183
13/02/2006,0.12
14/02/2006,0.125
15/02/2006,0.118
16/02/2006,0.062
17/02/2006,0.032
18/02/2006,0.002
19/02/2006,0.063
20/02/2006,0.397
21/02/2006,0.476
22/02/2006,0.358
23/02/2006,18.466
24/02/2006,22.977
25/02/2006,11.777
26/02/2006,6.666
27/02/2006,5.31
28/02/2006,6.66
1/03/2006,22.425
2/03/2006,39.226
3/03/2006,26.54
4/03/2006,16.939
5/03/2006,11.944
6/03/2006,8.26
7/03/2006,6.25
8/03/2006,4.2
9/03/2006,2.877
10/03/2006,2.101
11/03/2006,1.474
12/03/2006,1.176
13/03/2006,0.941
14/03/2006,0.828
15/03/2006,0.723
16/03/2006,0.619
17/03/2006,0.513
18/03/2006,0.511
19/03/2006,0.509
20/03/2006,0.442
21/03/2006,0.436
22/03/2006,0.436
23/03/2006,0.408
24/03/2006,0.281
25/03/2006,0.095
26/03/2006,0.048
27/03/2006,0.017
28/03/2006,0
29/03/2006,0
30/03/2006,0
31/03/2006,0.001
1/04/2006,0.172
2/04/2006,0.322
3/04/2006,0.189
4/04/2006,0.136
5/04/2006,0.102
6/04/2006,0.091
7/04/2006,0.018
8/04/2006,0
9/04/2006,0
10/04/2006,0
11/04/2006,0
12/04/2006,0
13/04/2006,0
14/04/2006,0
15/04/2006,0
16/04/2006,0
17/04/2006,0
18/04/2006,0
19/04/2006,0
20/04/2006,0
21/04/2006,0
22/04/2006,0
23/04/2006,0
24/04/2006,0
25/04/2006,0
26/04/2006,0
27/04/2006,0
28/04/2006,0
29/04/2006,0
30/04/2006,0
1/05/2006,0
2/05/2006,0
3/05/2006,0
4/05/2006,0
5/05/2006,0
6/05/2006,0
7/05/2006,0
8/05/2006,0
9/05/2006,0
10/05/2006,0
11/05/2006,0
12/05/2006,0
13/05/2006,0
14/05/2006,0
15/05/2006,0
16/05/2006,0
17/05/2006,0
18/05/2006,0
19/05/2006,0
20/05/2006,0
21/05/2006,0
22/05/2006,0
23/05/2006,0
24/05/2006,0
25/05/2006,0
26/05/2006,0
27/05/2006,0
28/05/2006,0
29/05/2006,0
30/05/2006,0
31/05/2006,0
1/06/2006,0
2/06/2006,0
3/06/2006,0
4/06/2006,0
5/06/2006,0
6/06/2006,0
